,# of reads across cell
0,"363,1"
1,"1377,1,1,1,1"
2,"9650,242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
3,"135,1"
4,"3277,1,1"
5,"673,1,1,1"
6,"385,1"
7,"584,1"
8,"7730,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
9,"4051,225,5,2,2,1,1,1,1,1,1,1"
10,"9853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
11,"1484,1,1,1,1,1,1"
12,"1,1,1,1,1,1,1,1,1,1,1,1"
13,2
14,1
15,"16,1"
16,"112,21,1"
17,"1,1,1,1,1,1,1,1,1,1"
18,1
19,"7304,2,1,1,1,1,1,1,1,1,1,1,1"
20,"239,1,1"
21,"4155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
22,1
23,"10836,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
24,"1857,1,1,1,1"
25,"2136,13,1,1,1,1"
26,"2685,1,1,1,1,1"
27,"7799,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
28,2
29,"147,1"
30,"1,1"
31,"6376,1,1,1,1,1,1,1,1,1,1,1,1"
32,"905,1,1"
33,"2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
34,"2564,84,1,1"
35,"5445,1,1,1,1,1"
36,"5551,3,1,1,1,1,1,1,1,1,1"
37,2
38,"7449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
39,"86,58,1"
40,"6209,7,2,1,1,1,1,1,1,1,1,1"
41,"506,1,1"
42,"2388,1,1,1,1,1,1,1,1,1,1,1"
43,"789,113,1,1"
44,"2,2,1,1,1,1,1,1,1,1,1"
45,"6256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
46,1
47,"848,1,1"
48,"3585,1,1,1,1,1,1,1,1"
49,1
50,"2652,1,1,1,1,1,1,1"
51,"8462,404,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
52,"9503,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
53,"7982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
54,"8795,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
55,"1,1,1,1,1,1,1,1,1,1,1,1,1,1"
56,"2,1"
57,"8953,8,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
58,"4983,2,1,1,1,1,1,1,1,1,1,1,1"
59,"2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
60,"1222,2,1,1,1,1,1,1,1,1,1,1,1,1"
61,"248,1"
62,"13760,7235,425,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
63,"21241,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
64,"2099,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
65,"968,1,1,1,1,1"
66,2
67,"2278,1"
68,2
69,1
70,2
71,"1189,1,1"
72,132
73,527
74,1
75,31
76,2
77,120
78,40
79,151
80,"148,2"
81,140
82,116
83,454
84,7
85,1
86,6
87,190
88,336
89,32
90,55
91,38
92,"63,1,1"
93,165
94,168
95,91
96,5
97,17
98,7
99,5
100,"1589,1"
101,7
102,11
103,"713,1,1"
104,75
105,20
106,97
107,85
108,"42,11"
109,"305,47"
110,28
111,36
112,1
113,27
114,11
115,20
116,11
117,195
118,7
119,"859,1"
120,57
121,"3,1"
122,11
123,102
124,14
125,18
126,11
127,"194,1"
128,846
129,42
130,41
